city,kill_sum,severity_score
janale,0.0,1.0
jamrud ghundi,0.0,1.0
johannesburg,0.0,1.0
isinweke,0.0,1.0
ishaqabad,0.0,1.0
irogpa,0.0,1.0
iraye,0.0,1.0
petah tivka,0.0,1.0
permili,0.0,1.0
penticton,0.0,1.0
payathonzu,0.0,1.0
pathein,0.0,1.0
jadihat,0.0,1.0
jacobabad,0.0,1.0
jabaliyah,0.0,1.0
jabaliya,0.0,1.0
izbah,0.0,1.0
iwofin,0.0,1.0
jamorawon,0.0,1.0
inkaneep,0.0,1.0
imphal west district,0.0,1.0
imphal,0.0,1.0
imamsahib,0.0,1.0
imam weis,0.0,1.0
pishin,0.0,1.0
pir-bigha,0.0,1.0
pinyin,0.0,1.0
pili,0.0,1.0
pidima,0.0,1.0
pichi pellahuen,0.0,1.0
phek,0.0,1.0
phado,0.0,1.0
pewaukee,0.0,1.0
isu district,0.0,1.0
istanbul,0.0,1.0
ikot odon,0.0,1.0
ikire,0.0,1.0
ikata,0.0,1.0
ijebu north district,0.0,1.0
pughanan,0.0,1.0
puerto peleco,0.0,1.0
puente amarillo,0.0,1.0
poughkeepsie,0.0,1.0
portland,0.0,1.0
portadown,0.0,1.0
port harcourt,0.0,1.0
popalzo zoshakh,0.0,1.0
polota b,0.0,1.0
pol-e malan,0.0,1.0
pivnichne,0.0,1.0
iorja,0.0,1.0
hsipaw,0.0,1.0
pyapon,0.0,1.0
putiao,0.0,1.0
pusnar,0.0,1.0
pulwama district,0.0,1.0
ihube,0.0,1.0
ihitte district,0.0,1.0
igbomotoru,0.0,1.0
iganga,0.0,1.0
ifitedunu,0.0,1.0
idlib,0.0,1.0
ibusogboro,0.0,1.0
iluke,0.0,1.0
ilha macaloe,0.0,1.0
ikyayior,0.0,1.0
ikot ukpong,0.0,1.0
qala-i-naw district,0.0,1.0
qala-e-abdul ali,0.0,1.0
qala qazi,0.0,1.0
qaim district,0.0,1.0
qaim,0.0,1.0
pyinmana,0.0,1.0
hourara,0.0,1.0
homapon,0.0,1.0
hinthada district,0.0,1.0
hillah,0.0,1.0
ibeagwa aka,0.0,1.0
ibb,0.0,1.0
hulaywah,0.0,1.0
huilio,0.0,1.0
hub,0.0,1.0
huape,0.0,1.0
hairatan,0.0,1.0
qom,0.0,1.0
qarah tappah,0.0,1.0
qarabagh bazar,0.0,1.0
qamishli,0.0,1.0
havre de grace,0.0,1.0
haungpa,0.0,1.0
hato frio,0.0,1.0
haswah,0.0,1.0
hassanpora,0.0,1.0
hassan shallal,0.0,1.0
hasankoy,0.0,1.0
hedley,0.0,1.0
hazm,0.0,1.0
hazaribagh,0.0,1.0
hayatabad,0.0,1.0
habilayn,0.0,1.0
habban,0.0,1.0
haanta dheer,0.0,1.0
guol,0.0,1.0
gumma,0.0,1.0
quiterajo,0.0,1.0
quilaco,0.0,1.0
quidico,0.0,1.0
quepe,0.0,1.0
harardhere,0.0,1.0
harad district,0.0,1.0
hanover,0.0,1.0
hamure,0.0,1.0
hamandaliyah,0.0,1.0
haman,0.0,1.0
hajin,0.0,1.0
goros numero dos,0.0,1.0
gonder,0.0,1.0
rakasnala,0.0,1.0
rajpora,0.0,1.0
rahara,0.0,1.0
rahabah district,0.0,1.0
radda,0.0,1.0
radal,0.0,1.0
gumla,0.0,1.0
guetela,0.0,1.0
guerguerat,0.0,1.0
guatemala,0.0,1.0
guamalito,0.0,1.0
gruenheide,0.0,1.0
hadithah,0.0,1.0
had akhdar,0.0,1.0
gindan rai,0.0,1.0
gilai,0.0,1.0
gigors-et-lozeron,0.0,1.0
gidan rai,0.0,1.0
ghundai,0.0,1.0
rengpang,0.0,1.0
rengarbera,0.0,1.0
refai district,0.0,1.0
refai,0.0,1.0
rasheed,0.0,1.0
ras tanura,0.0,1.0
raqqah,0.0,1.0
ramchapally,0.0,1.0
green village,0.0,1.0
gouda,0.0,1.0
gortreagh,0.0,1.0
gaya district,0.0,1.0
gatta,0.0,1.0
garin kuturu,0.0,1.0
rome,0.0,1.0
roma,0.0,1.0
roba,0.0,1.0
rifai,0.0,1.0
ghotia mor,0.0,1.0
ghorak district,0.0,1.0
ghareeb,0.0,1.0
ghaghari,0.0,1.0
gelan district,0.0,1.0
glengormley,0.0,1.0
glenavy,0.0,1.0
givat shmuel,0.0,1.0
giridih district,0.0,1.0
florida,0.0,1.0
rurambo,0.0,1.0
rumlang,0.0,1.0
rumbek,0.0,1.0
rumailat,0.0,1.0
rueso district,0.0,1.0
rueso,0.0,1.0
garhwa district,0.0,1.0
gap,0.0,1.0
gangaw,0.0,1.0
gamawa,0.0,1.0
galvarino,0.0,1.0
geidam district,0.0,1.0
gboko district,0.0,1.0
gbabu,0.0,1.0
gayaza,0.0,1.0
fallujah district,0.0,1.0
falaise,0.0,1.0
sahiliyah,0.0,1.0
sahapur,0.0,1.0
saghev,0.0,1.0
sagaing,0.0,1.0
safra,0.0,1.0
sadiyah,0.0,1.0
sadirah,0.0,1.0
sadeh avraham,0.0,1.0
sabiid,0.0,1.0
sabere mbaba,0.0,1.0
gagran,0.0,1.0
fushe kosove,0.0,1.0
fortul,0.0,1.0
fonbeauzard,0.0,1.0
eshkol regional council,0.0,1.0
esha,0.0,1.0
eruwa,0.0,1.0
erez,0.0,1.0
ercilla,0.0,1.0
enugu,0.0,1.0
salif,0.0,1.0
salh district,0.0,1.0
salesoon,0.0,1.0
sajo,0.0,1.0
saint johns,0.0,1.0
saimu,0.0,1.0
saimooh,0.0,1.0
felipe angeles,0.0,1.0
fatehabad,0.0,1.0
farabougou,0.0,1.0
el vergel,0.0,1.0
el tejero,0.0,1.0
el monte,0.0,1.0
el geneina,0.0,1.0
san josef,0.0,1.0
san javier,0.0,1.0
san chao kai to,0.0,1.0
saminar,0.0,1.0
samawah,0.0,1.0
samarra district,0.0,1.0
salonica,0.0,1.0
salman,0.0,1.0
faizabad,0.0,1.0
fai kyawng,0.0,1.0
ezza north district,0.0,1.0
essien udim district,0.0,1.0
sao paulo,0.0,1.0
santo nino,0.0,1.0
sanmatenga district,0.0,1.0
sangam,0.0,1.0
el empalme,0.0,1.0
eke-onuimo,0.0,1.0
eisenach,0.0,1.0
ehime-mbano district,0.0,1.0
egiri,0.0,1.0
ebonyi district,0.0,1.0
enschede,0.0,1.0
enniskillen,0.0,1.0
emuoha district,0.0,1.0
emuhu,0.0,1.0
elnaymah,0.0,1.0
el wak,0.0,1.0
sarkin noma,0.0,1.0
sarkar-e-baghl,0.0,1.0
sardheri,0.0,1.0
saravena district,0.0,1.0
saravena,0.0,1.0
saqlawiyah,0.0,1.0
dushi district,0.0,1.0
durban,0.0,1.0
dungiven,0.0,1.0
dumdail,0.0,1.0
dumaria,0.0,1.0
duma,0.0,1.0
dulliken,0.0,1.0
dujail,0.0,1.0
duhaidha,0.0,1.0
dthina,0.0,1.0
dooga,0.0,1.0
donneville,0.0,1.0
don pablo dela rosa,0.0,1.0
don mariano marcos,0.0,1.0
domail,0.0,1.0
dokhla,0.0,1.0
doka atikpo,0.0,1.0
dogofry,0.0,1.0
sayyid hamad,0.0,1.0
sayghan district,0.0,1.0
sayed jarad,0.0,1.0
sayed jaber,0.0,1.0
sawan,0.0,1.0
sassenage,0.0,1.0
saslaj,0.0,1.0
sarman,0.0,1.0
shaburhan,0.0,1.0
shaar hanegev regional council,0.0,1.0
seyngth,0.0,1.0
selzin,0.0,1.0
sekanyonyi,0.0,1.0
seiyun,0.0,1.0
seh ab,0.0,1.0
segbiuga,0.0,1.0
sedal,0.0,1.0
diyarbakir,0.0,1.0
diwaniyah district,0.0,1.0
diouradougou kafo,0.0,1.0
dilsen-stokkem,0.0,1.0
doukouria,0.0,1.0
doruma,0.0,1.0
dooshima,0.0,1.0
daungchaung,0.0,1.0
datu paglas,0.0,1.0
datem del maranon district,0.0,1.0
shakhri kokhna,0.0,1.0
shahid nizar,0.0,1.0
shah wali kot district,0.0,1.0
dhaka,0.0,1.0
dhahran al-janub district,0.0,1.0
dhahran,0.0,1.0
dera ismail khan district,0.0,1.0
delmenhorst,0.0,1.0
deir nizham,0.0,1.0
digobi,0.0,1.0
digilota,0.0,1.0
dhira dijla,0.0,1.0
dhanora,0.0,1.0
shaykhi,0.0,1.0
shatrah district,0.0,1.0
sharana,0.0,1.0
shamiya district,0.0,1.0
dara muqbal,0.0,1.0
daoud allouk,0.0,1.0
daoud al-salem,0.0,1.0
dantewada district,0.0,1.0
dangerpora,0.0,1.0
darkale,0.0,1.0
darbhanga,0.0,1.0
dedpath,0.0,1.0
dayr sharaf,0.0,1.0
dawr district,0.0,1.0
dawphoneyan,0.0,1.0
dawlat shah,0.0,1.0
coi coi,0.0,1.0
cluny,0.0,1.0
ciudad del carmen,0.0,1.0
sherbandi,0.0,1.0
sherawa,0.0,1.0
sherabad khore,0.0,1.0
shene,0.0,1.0
sheladiz,0.0,1.0
sheikh saad,0.0,1.0
sheikh barrow,0.0,1.0
shazif,0.0,1.0
daman,0.0,1.0
dagonbhuiya,0.0,1.0
dabeiba district,0.0,1.0
currynierin,0.0,1.0
cunco,0.0,1.0
chitramo,0.0,1.0
chief mununga,0.0,1.0
chia,0.0,1.0
shorwardak,0.0,1.0
shoqra,0.0,1.0
shishan,0.0,1.0
cumana,0.0,1.0
cuesta del ternero,0.0,1.0
cucuta,0.0,1.0
cuatro esquinas,0.0,1.0
crucecitas,0.0,1.0
crest,0.0,1.0
cox's bazar,0.0,1.0
cotmon,0.0,1.0
consing,0.0,1.0
collin,0.0,1.0
chelmsford,0.0,1.0
chavez talamantes,0.0,1.0
chattar,0.0,1.0
chatra district,0.0,1.0
charsada district,0.0,1.0
singhu,0.0,1.0
siddhirganj,0.0,1.0
sibutu district,0.0,1.0
sibsagar district,0.0,1.0
sibi,0.0,1.0
siah sang,0.0,1.0
si sakhon,0.0,1.0
shubaykah,0.0,1.0
chungi,0.0,1.0
chopaka,0.0,1.0
chonke,0.0,1.0
cabanglasan district,0.0,1.0
siyozai,0.0,1.0
sison,0.0,1.0
chai,0.0,1.0
chahar dara,0.0,1.0
chaghan,0.0,1.0
cehil dukhtaran,0.0,1.0
cautin district,0.0,1.0
cartagena,0.0,1.0
carrollton,0.0,1.0
chandkote hygam,0.0,1.0
chalabi,0.0,1.0
chal district,0.0,1.0
chaki wardak district,0.0,1.0
chetimari,0.0,1.0
cherla,0.0,1.0
sulaymaniyah,0.0,1.0
sukma district,0.0,1.0
stockholm,0.0,1.0
st. albert,0.0,1.0
spin-e-ghar,0.0,1.0
spin boldak district,0.0,1.0
burqa,0.0,1.0
burin,0.0,1.0
burashum,0.0,1.0
bundada weyn,0.0,1.0
capitan pastene,0.0,1.0
canning,0.0,1.0
canete,0.0,1.0
campo dos,0.0,1.0
camlough,0.0,1.0
caloto district,0.0,1.0
bujimirum,0.0,1.0
buea,0.0,1.0
budol,0.0,1.0
budija,0.0,1.0
budi,0.0,1.0
buddo,0.0,1.0
brightlingsea,0.0,1.0
brezins,0.0,1.0
tacna,0.0,1.0
tabat,0.0,1.0
swaida,0.0,1.0
swabhiman anchal,0.0,1.0
surbura,0.0,1.0
suq ash shuyukh district,0.0,1.0
sumisip district,0.0,1.0
sumer,0.0,1.0
tal dhiab,0.0,1.0
taibe,0.0,1.0
tagudin district,0.0,1.0
bolo,0.0,1.0
bole,0.0,1.0
bohri esani,0.0,1.0
bogalay,0.0,1.0
bismayah,0.0,1.0
birmah,0.0,1.0
binocaran,0.0,1.0
brescia,0.0,1.0
braunschweig,0.0,1.0
bovenkarspel,0.0,1.0
boutonou,0.0,1.0
bouar,0.0,1.0
bulabulin,0.0,1.0
belen kue,0.0,1.0
beldiabe,0.0,1.0
beit nekofa,0.0,1.0
beit iksa,0.0,1.0
beersheba,0.0,1.0
tamim,0.0,1.0
tam,0.0,1.0
tall tamr,0.0,1.0
tal salman,0.0,1.0
tal rabaa,0.0,1.0
bilal abad,0.0,1.0
bijapur district,0.0,1.0
bhiwandi,0.0,1.0
bhamo,0.0,1.0
betar illit,0.0,1.0
berlin,0.0,1.0
bawli,0.0,1.0
bauren zakat,0.0,1.0
battishah,0.0,1.0
battar,0.0,1.0
batha,0.0,1.0
bastar district,0.0,1.0
tar,0.0,1.0
tapuah,0.0,1.0
tao,0.0,1.0
tanyong mat,0.0,1.0
tanghdar,0.0,1.0
tamporong,0.0,1.0
beri,0.0,1.0
benina,0.0,1.0
benghazi,0.0,1.0
bende district,0.0,1.0
baraka,0.0,1.0
barah,0.0,1.0
baqim district,0.0,1.0
baqa al-gharbiyye,0.0,1.0
bannang sata,0.0,1.0
tayasir,0.0,1.0
targhao,0.0,1.0
targema,0.0,1.0
tar lone,0.0,1.0
basselhaya,0.0,1.0
basra,0.0,1.0
basing,0.0,1.0
barsoor,0.0,1.0
barpora,0.0,1.0
bayt al marui,0.0,1.0
bay hasan,0.0,1.0
bambahowla,0.0,1.0
bamba,0.0,1.0
bamaw,0.0,1.0
bamako,0.0,1.0
bamajo,0.0,1.0
bam pasht,0.0,1.0
terre haute,0.0,1.0
tema,0.0,1.0
tel al-laban,0.0,1.0
tchologo district,0.0,1.0
bani rajab,0.0,1.0
bani bakari,0.0,1.0
banguil,0.0,1.0
bangkok,0.0,1.0
bangi district,0.0,1.0
barakarou,0.0,1.0
tibu district,0.0,1.0
tibu,0.0,1.0
thessaloniki,0.0,1.0
theinzayat,0.0,1.0
thegone,0.0,1.0
thayet,0.0,1.0
thabeikkyin district,0.0,1.0
balkan,0.0,1.0
balhaf,0.0,1.0
balamba,0.0,1.0
balad district,0.0,1.0
bakouma district,0.0,1.0
bakar katta,0.0,1.0
banah qasr,0.0,1.0
ban thalo,0.0,1.0
bamenda,0.0,1.0
bachomobampo numero dos,0.0,1.0
tokisud,0.0,1.0
tirunelveli,0.0,1.0
tire,0.0,1.0
tirana,0.0,1.0
tinto,0.0,1.0
timbio,0.0,1.0
tilburg,0.0,1.0
tikrit district,0.0,1.0
tikrit,0.0,1.0
bajaur district,0.0,1.0
baiji district,0.0,1.0
bahuarwabhatta,0.0,1.0
bahia blanca,0.0,1.0
bahbahani,0.0,1.0
baguindan,0.0,1.0
tranaquepe,0.0,1.0
toulouse,0.0,1.0
toledo,0.0,1.0
aziabad,0.0,1.0
azaz district,0.0,1.0
ayetoro ekiti,0.0,1.0
auno,0.0,1.0
baboua,0.0,1.0
babapora,0.0,1.0
azzun,0.0,1.0
azran qimat,0.0,1.0
azlat al-ashrouh,0.0,1.0
bago,0.0,1.0
badghisi,0.0,1.0
badas,0.0,1.0
badam,0.0,1.0
arar,0.0,1.0
tse-girgi,0.0,1.0
tse ugbadu,0.0,1.0
tse tugh,0.0,1.0
tse tor,0.0,1.0
tse agbe,0.0,1.0
tripoli,0.0,1.0
ashdod,0.0,1.0
ash shamayatayn district,0.0,1.0
asdas,0.0,1.0
as-salif,0.0,1.0
arma district,0.0,1.0
aujirawa alkali,0.0,1.0
atta,0.0,1.0
ataq district,0.0,1.0
at tuhayta district,0.0,1.0
ankoma,0.0,1.0
ankeny,0.0,1.0
tuz khormato,0.0,1.0
tusom,0.0,1.0
turkawangam,0.0,1.0
turka tachul,0.0,1.0
tur al-bahah district,0.0,1.0
tulul al-baj,0.0,1.0
tulsidih,0.0,1.0
tuen mun,0.0,1.0
tuam,0.0,1.0
argo district,0.0,1.0
arghistan district,0.0,1.0
argelia district,0.0,1.0
arauco district,0.0,1.0
araro,0.0,1.0
andalucia district,0.0,1.0
anantnag district,0.0,1.0
anantnag,0.0,1.0
amuda,0.0,1.0
ughelli,0.0,1.0
udayn district,0.0,1.0
ubulu-ihejiofor,0.0,1.0
ubauro,0.0,1.0
tyo mu,0.0,1.0
aranpur,0.0,1.0
anzourou,0.0,1.0
antsa,0.0,1.0
antiquina,0.0,1.0
antipas,0.0,1.0
ansongo district,0.0,1.0
anole,0.0,1.0
amiriyat al-samoud,0.0,1.0
amiriyat al-fallujah,0.0,1.0
aminbazar,0.0,1.0
amaebu ebenatu,0.0,1.0
amabulou,0.0,1.0
allang,0.0,1.0
allahbad,0.0,1.0
upington,0.0,1.0
umurayi,0.0,1.0
umuoji,0.0,1.0
umuelemai,0.0,1.0
umlazi,0.0,1.0
ulm,0.0,1.0
ankara,0.0,1.0
angwan yari,0.0,1.0
androla,0.0,1.0
albu asi,0.0,1.0
albertville,0.0,1.0
alatona,0.0,1.0
alapako,0.0,1.0
villianur,0.0,1.0
villa el parque,0.0,1.0
vijagual,0.0,1.0
video,0.0,1.0
victoria,0.0,1.0
vetlanda,0.0,1.0
vereeniging,0.0,1.0
vereda las bancas,0.0,1.0
venkatapuram,0.0,1.0
varberg,0.0,1.0
valladolid,0.0,1.0
amouriya,0.0,1.0
al-oud,0.0,1.0
wako kaso,0.0,1.0
wajihiyah,0.0,1.0
waggan,0.0,1.0
wadi nabaa,0.0,1.0
wadi al-jisr,0.0,1.0
vosges,0.0,1.0
alam,0.0,1.0
al-zubair,0.0,1.0
al-ushal,0.0,1.0
al-tayyub,0.0,1.0
al-tar,0.0,1.0
al-tabaat,0.0,1.0
al-sour,0.0,1.0
al-sila,0.0,1.0
alishing district,0.0,1.0
al-lahib,0.0,1.0
al-kufa district,0.0,1.0
al-kark,0.0,1.0
al-jubb,0.0,1.0
al-jazeera,0.0,1.0
west singhbhum district,0.0,1.0
wazeedu,0.0,1.0
wat urai rattanaram,0.0,1.0
warmando,0.0,1.0
al-sahar,0.0,1.0
al-sabaa al-sufla,0.0,1.0
al-sabaa al-olaya,0.0,1.0
al-sabaa al-ali,0.0,1.0
al-rakhim,0.0,1.0
al-qadaba,0.0,1.0
al-oura,0.0,1.0
al-jaddfer,0.0,1.0
al-jadafir,0.0,1.0
al-jabaliya,0.0,1.0
al-haml,0.0,1.0
al-gharraf,0.0,1.0
al-gharib,0.0,1.0
al-fazah,0.0,1.0
al-faw district,0.0,1.0
yabad,0.0,1.0
ya thit kone,0.0,1.0
xitaxi,0.0,1.0
womdeo,0.0,1.0
al-maqana,0.0,1.0
al-manjam,0.0,1.0
al-malikiyah,0.0,1.0
al-majaza,0.0,1.0
al-bazul,0.0,1.0
al-balaq,0.0,1.0
al-baghdadi,0.0,1.0
al-awadia,0.0,1.0
al-asfali,0.0,1.0
al-alam,0.0,1.0
al-ajel,0.0,1.0
al-abbarah,0.0,1.0
al-abayji,0.0,1.0
yavne,0.0,1.0
yapimakot,0.0,1.0
yanbu,0.0,1.0
al-jawf junction,0.0,1.0
al-jaruba,0.0,1.0
al-jamamlah,0.0,1.0
al-jamalonat,0.0,1.0
zira i,0.0,1.0
zawiya,0.0,1.0
acre,0.0,1.0
abu skhul,0.0,1.0
abu sayda,0.0,1.0
abu ghraib district,0.0,1.0
abu ghraib,0.0,1.0
abu gharaq,0.0,1.0
abu bakr,0.0,1.0
afgoye,0.0,1.0
afaha ikot ebak,0.0,1.0
adhaim,0.0,1.0
adelaide,0.0,1.0
ahome,0.0,1.0
ahmed khel babri ada,0.0,1.0
ahmad hilal,0.0,1.0
mevasseret zion,0.0,1.0
metina,0.0,1.0
mes aynak,0.0,1.0
mero,0.0,1.0
merkhah as sufla district,0.0,1.0
merauke,0.0,1.0
mendi district,0.0,1.0
menaka,0.0,1.0
meiktila,0.0,1.0
mecca,0.0,1.0
mbieri,0.0,1.0
zoukombo,0.0,1.0
zouarke,0.0,1.0
zona libre,0.0,1.0
zon,0.0,1.0
zira ii,0.0,1.0
